hour_of_the_shift,avg_crane_moves
6.647887324,22.71398305
5.746478873,22.1004902
6.535211268,17.29094828
3.042253521,51.60648148
1.915492958,65.25735294
6.422535211,21.48684211
2.253521127,77.2125
3.830985915,38.89338235
2.14084507,72.40131579
6.084507042,24.48842593
7.098591549,15.0734127
2.704225352,65.08333333
1.802816901,79.3203125
2.478873239,53.65340909
5.408450704,20.89322917
1.915492958,89.27205882
2.253521127,63.9
4.957746479,30.45738636
2.704225352,67.30208333
6.309859155,17.90848214
4.056338028,41.90972222
6.422535211,17.90570175
5.070422535,22.68055556
6.309859155,18.70089286
4.957746479,23.80113636
2.591549296,59.80978261
2.028169014,91.70833333
4.732394366,27.89285714
6.084507042,19.06481481
5.295774648,24.73670213
2.704225352,45.11458333
5.85915493,25.25961538
3.042253521,61.7962963
2.028169014,85.79166667
5.408450704,27.734375
3.492957746,45.23387097
5.521126761,23.72704082
5.408450704,24.22135417
5.521126761,20.46683673
2.591549296,64.44021739
2.253521127,72.775
2.704225352,67.671875
3.943661972,29.92142857
4.056338028,33.52777778
4.957746479,23.19602273
5.521126761,25.53826531
5.971830986,23.44339623
1.802816901,84.8671875
6.084507042,18.0787037
2.816901408,61.77
3.042253521,55.55092593
2.028169014,88.25694444
2.929577465,48.8125
2.478873239,65.35227273
5.633802817,22.72
4.732394366,25.14583333
4.394366197,30.03846154
6.309859155,22.1875
